,n_hawks,n_doves
0,0,1000
1,2,998
2,2,998
3,3,997
4,2,998
5,1,999
6,1,999
7,4,996
8,5,995
9,3,997
10,7,993
11,12,988
12,24,976
13,34,966
14,37,963
15,43,957
16,48,952
17,64,936
18,86,914
19,102,898
20,124,876
21,157,843
22,216,784
23,246,754
24,274,726
25,296,704
26,344,656
27,364,636
28,421,579
29,471,529
30,498,502
31,509,491
32,537,463
33,539,461
34,545,455
35,563,437
36,583,417
37,592,408
38,618,382
39,624,376
40,618,382
41,633,367
42,639,361
43,637,363
44,632,368
45,671,329
46,676,324
47,654,346
48,658,342
49,685,315
50,697,303
51,707,293
52,691,309
53,732,268
54,714,286
55,693,307
56,703,297
57,700,300
58,680,320
59,676,324
60,678,322
61,689,311
62,699,301
63,710,290
64,696,304
65,699,301
66,684,316
67,700,300
68,706,294
69,694,306
70,712,288
71,725,275
72,719,281
73,697,303
74,673,327
75,672,328
76,678,322
77,698,302
78,706,294
79,677,323
80,680,320
81,653,347
82,664,336
83,629,371
84,649,351
85,638,362
86,660,340
87,681,319
88,697,303
89,701,299
90,702,298
91,705,295
92,713,287
93,715,285
94,695,305
95,717,283
96,705,295
97,703,297
98,716,284
99,719,281
100,691,309
101,708,292
102,717,283
103,733,267
104,713,287
105,717,283
106,750,250
107,747,253
108,734,266
109,712,288
110,704,296
111,717,283
112,711,289
113,676,324
114,680,320
115,690,310
116,663,337
117,672,328
118,684,316
119,692,308
120,690,310
121,696,304
122,714,286
123,698,302
124,687,313
125,696,304
126,705,295
127,700,300
128,721,279
129,726,274
130,717,283
131,725,275
132,743,257
133,733,267
134,735,265
135,705,295
136,695,305
137,695,305
138,687,313
139,680,320
140,680,320
141,651,349
142,655,345
143,674,326
144,661,339
145,668,332
146,665,335
147,670,330
148,682,318
149,664,336
150,654,346
151,657,343
152,669,331
153,696,304
154,702,298
155,723,277
156,718,282
157,731,269
158,729,271
159,732,268
160,735,265
161,726,274
162,718,282
163,749,251
164,741,259
165,740,260
166,737,263
167,717,283
168,703,297
169,684,316
170,682,318
171,708,292
172,716,284
173,711,289
174,712,288
175,702,298
176,702,298
177,689,311
178,680,320
179,672,328
180,689,311
181,686,314
182,678,322
183,682,318
184,721,279
185,711,289
186,714,286
187,702,298
188,683,317
189,699,301
190,690,310
191,678,322
192,694,306
193,703,297
194,716,284
195,700,300
196,710,290
197,719,281
198,725,275
199,715,285
200,703,297
201,686,314
202,704,296
203,717,283
204,706,294
205,703,297
206,712,288
207,700,300
208,681,319
209,670,330
210,685,315
211,678,322
212,660,340
213,671,329
214,679,321
215,691,309
216,686,314
217,713,287
218,725,275
219,740,260
220,748,252
221,742,258
222,723,277
223,718,282
224,716,284
225,704,296
226,708,292
227,663,337
228,674,326
229,664,336
230,672,328
231,668,332
232,689,311
233,683,317
234,698,302
235,676,324
236,716,284
237,706,294
238,692,308
239,660,340
240,653,347
241,617,383
242,613,387
243,643,357
244,647,353
245,633,367
246,655,345
247,666,334
248,657,343
249,676,324
250,675,325
251,691,309
252,693,307
253,690,310
254,667,333
255,679,321
256,678,322
257,683,317
258,714,286
259,721,279
260,708,292
261,712,288
262,702,298
263,707,293
264,696,304
265,700,300
266,686,314
267,689,311
268,694,306
269,658,342
270,655,345
271,679,321
272,670,330
273,666,334
274,705,295
275,703,297
276,727,273
277,720,280
278,733,267
279,742,258
280,735,265
281,693,307
282,699,301
283,693,307
284,680,320
285,684,316
286,691,309
287,684,316
288,678,322
289,665,335
290,674,326
291,681,319
292,671,329
293,653,347
294,671,329
295,671,329
296,680,320
297,699,301
298,719,281
299,718,282
300,727,273
301,719,281
302,706,294
303,677,323
304,668,332
305,662,338
306,677,323
307,696,304
308,695,305
309,708,292
310,728,272
311,728,272
312,724,276
313,729,271
314,727,273
315,731,269
316,741,259
317,763,237
318,780,220
319,753,247
320,740,260
321,766,234
322,762,238
323,758,242
324,741,259
325,727,273
326,729,271
327,725,275
328,734,266
329,727,273
330,714,286
331,704,296
332,693,307
333,693,307
334,691,309
335,674,326
336,686,314
337,691,309
338,683,317
339,707,293
340,702,298
341,703,297
342,705,295
343,685,315
344,689,311
345,696,304
346,707,293
347,711,289
348,714,286
349,684,316
350,656,344
351,687,313
352,705,295
353,710,290
354,724,276
355,720,280
356,724,276
357,722,278
358,742,258
359,742,258
360,727,273
361,733,267
362,731,269
363,737,263
364,764,236
365,741,259
366,746,254
367,750,250
368,751,249
369,743,257
370,763,237
371,746,254
372,748,252
373,753,247
374,729,271
375,750,250
376,742,258
377,756,244
378,747,253
379,765,235
380,761,239
381,772,228
382,762,238
383,739,261
384,741,259
385,753,247
386,741,259
387,700,300
388,713,287
389,719,281
390,750,250
391,760,240
392,737,263
393,745,255
394,743,257
395,732,268
396,716,284
397,713,287
398,711,289
399,712,288
400,708,292
401,685,315
402,675,325
403,677,323
404,686,314
405,695,305
406,669,331
407,692,308
408,682,318
409,701,299
410,699,301
411,683,317
412,707,293
413,700,300
414,691,309
415,692,308
416,686,314
417,662,338
418,629,371
419,665,335
420,678,322
421,649,351
422,654,346
423,680,320
424,661,339
425,661,339
426,652,348
427,666,334
428,686,314
429,675,325
430,649,351
431,645,355
432,646,354
433,681,319
434,712,288
435,732,268
436,735,265
437,729,271
438,716,284
439,726,274
440,742,258
441,742,258
442,728,272
443,721,279
444,708,292
445,700,300
446,701,299
447,698,302
448,722,278
449,722,278
450,720,280
451,725,275
452,731,269
453,695,305
454,715,285
455,705,295
456,708,292
457,699,301
458,686,314
459,698,302
460,696,304
461,688,312
462,688,312
463,718,282
464,702,298
465,702,298
466,694,306
467,711,289
468,712,288
469,709,291
470,711,289
